county,date,hospitalized_covid_patients,population
Kings,2020-03-29,7.0,152940.0
Yolo,2020-03-29,5.0,220500.0
San Diego,2020-03-29,332.0,3338330.0
Modoc,2020-03-29,0.0,8841.0
Mono,2020-03-29,1.0,14444.0
Mendocino,2020-03-29,12.0,86749.0
Riverside,2020-03-29,122.0,2470546.0
Stanislaus,2020-03-29,68.0,550660.0
Lassen,2020-03-29,2.0,30573.0
San Luis Obispo,2020-03-29,19.0,283111.0
San Bernardino,2020-03-29,156.0,2180085.0
Merced,2020-03-29,8.0,277680.0
Shasta,2020-03-29,0.0,180080.0
San Mateo,2020-03-29,73.0,766573.0
Marin,2020-03-29,20.0,258826.0
Glenn,2020-03-29,0.0,28393.0
Fresno,2020-03-29,124.0,999101.0
Napa,2020-03-29,26.0,137744.0
Los Angeles,2020-03-29,1621.0,10039107.0
Trinity,2020-03-29,0.0,12285.0
San Benito,2020-03-29,2.0,62808.0
San Francisco,2020-03-29,123.0,881549.0
Santa Clara,2020-03-29,213.0,1927852.0
Butte,2020-03-29,0.0,219186.0
Colusa,2020-03-29,0.0,21547.0
Monterey,2020-03-29,18.0,434061.0
Madera,2020-03-29,7.0,157327.0
Plumas,2020-03-29,1.0,18807.0
Tehama,2020-03-29,0.0,65084.0
Solano,2020-03-29,34.0,447643.0
Tuolumne,2020-03-29,6.0,54478.0
Santa Cruz,2020-03-29,0.0,273213.0
Contra Costa,2020-03-29,85.0,1153526.0
Del Norte,2020-03-29,3.0,27812.0
Placer,2020-03-29,32.0,398329.0
Siskiyou,2020-03-29,0.0,43539.0
Alameda,2020-03-29,127.0,1671329.0
Orange,2020-03-29,241.0,3175692.0
San Joaquin,2020-03-29,69.0,762148.0
Amador,2020-03-29,1.0,39752.0
Santa Barbara,2020-03-29,36.0,446499.0
Ventura,2020-03-29,109.0,846006.0
Tulare,2020-03-29,19.0,466195.0
Humboldt,2020-03-29,11.0,135558.0
Sonoma,2020-03-29,27.0,494336.0
Calaveras,2020-03-29,0.0,45905.0
El Dorado,2020-03-29,6.0,192843.0
Sutter,2020-03-29,0.0,96971.0
Sacramento,2020-03-29,63.0,1552058.0
Nevada,2020-03-29,23.0,99755.0
Inyo,2020-03-29,0.0,18039.0
Lake,2020-03-29,1.0,64386.0
Kern,2020-03-29,73.0,900202.0
Imperial,2020-03-29,105.0,181215.0
Yuba,2020-03-29,14.0,78668.0
Glenn,2020-03-30,0.0,28393.0
San Benito,2020-03-30,2.0,62808.0
Kern,2020-03-30,141.0,900202.0
Contra Costa,2020-03-30,79.0,1153526.0
Fresno,2020-03-30,98.0,999101.0
Yolo,2020-03-30,4.0,220500.0
Humboldt,2020-03-30,9.0,135558.0
Sacramento,2020-03-30,131.0,1552058.0
Napa,2020-03-30,11.0,137744.0
Stanislaus,2020-03-30,68.0,550660.0
Imperial,2020-03-30,128.0,181215.0
Modoc,2020-03-30,31.0,8841.0
Shasta,2020-03-30,5.0,180080.0
Mono,2020-03-30,1.0,14444.0
Riverside,2020-03-30,193.0,2470546.0
San Francisco,2020-03-30,150.0,881549.0
Kings,2020-03-30,14.0,152940.0
San Joaquin,2020-03-30,58.0,762148.0
Madera,2020-03-30,6.0,157327.0
Amador,2020-03-30,1.0,39752.0
Mendocino,2020-03-30,13.0,86749.0
Santa Barbara,2020-03-30,44.0,446499.0
Sonoma,2020-03-30,29.0,494336.0
Monterey,2020-03-30,27.0,434061.0
Tuolumne,2020-03-30,3.0,54478.0
Colusa,2020-03-30,1.0,21547.0
Marin,2020-03-30,19.0,258826.0
Santa Cruz,2020-03-30,2.0,273213.0
Calaveras,2020-03-30,3.0,45905.0
Placer,2020-03-30,38.0,398329.0
Yuba,2020-03-30,20.0,78668.0
Ventura,2020-03-30,107.0,846006.0
Lassen,2020-03-30,4.0,30573.0
Alameda,2020-03-30,148.0,1671329.0
