state,date,total_doses_distributed,daily_change_dist,total_doses_administered,daily_change_admin,doses_distributed_100k,dist_100k_change,doses_administed_100k,admin_100k_change,people_1+_dose,people_1+_dose_change,doses_1+_100k,doses_1+_100k_change,people_2_doses,people_2_doses_change,doses_2_100k,doses_2_100k_change
California,2021-01-16,3548575,0.0,1072959,0.0,8981.0,0.0,2716.0,0.0,865387,0.0,2190.0,0.0,204374,0.0,204374,0.0
California,2021-01-17,3548575,0.0,1072959,0.0,8981.0,0.0,2716.0,0.0,865387,0.0,2190.0,0.0,204374,0.0,204374,0.0
California,2021-01-18,3548575,0.0,1072959,0.0,8981.0,0.0,2716.0,0.0,865387,0.0,2190.0,0.0,204374,0.0,204374,0.0
California,2021-01-19,3548575,0.0,1072959,0.0,8981.0,0.0,2716.0,0.0,865387,0.0,2190.0,0.0,204374,0.0,204374,0.0
California,2021-01-20,3548575,0.0,1072959,0.0,8981.0,0.0,2716.0,0.0,865387,0.0,2190.0,0.0,204374,0.0,204374,0.0
California,2021-01-21,4169450,620875.0,1532329,459370.0,10552.0,1571.0,3878.0,1162.0,1255311,389924.0,3177.0,987.0,273276,68902.0,273276,68902.0
California,2021-01-22,4379500,210050.0,1633875,101546.0,11084.0,532.0,4135.0,257.0,1335886,80575.0,3381.0,204.0,293834,20558.0,293834,20558.0
California,2021-01-23,4714625,335125.0,1803679,169804.0,11932.0,848.0,4565.0,430.0,1477195,141309.0,3739.0,358.0,321839,28005.0,321839,28005.0
California,2021-01-24,4906525,191900.0,2008220,204541.0,12418.0,486.0,5083.0,518.0,1661683,184488.0,4205.0,466.0,341731,19892.0,341731,19892.0
California,2021-01-25,4906525,0.0,2199908,191688.0,12418.0,0.0,5568.0,485.0,1838464,176781.0,4653.0,448.0,356382,14651.0,356382,14651.0
California,2021-01-26,4906525,0.0,2330633,130725.0,12418.0,0.0,5899.0,331.0,1954048,115584.0,4945.0,292.0,371482,15100.0,371482,15100.0
California,2021-01-27,5340275,433750.0,2446577,115944.0,13516.0,1098.0,6192.0,293.0,2053652,99604.0,5198.0,253.0,387563,16081.0,387563,16081.0
